City_ID,City,Country,Max Temp,City_Description,Lat,Lng,Hotel Name
407,Biak,ID,78.64,overcast clouds,-0.9131,122.8766,Penginapan Kim
414,Polewali,ID,85.89,overcast clouds,-3.4324,119.3435,Lilianto Hotel
418,Jefferson City,US,84.11,scattered clouds,38.5767,-92.1735,DoubleTree by Hilton Hotel Jefferson City
422,Trat,TH,87.87,scattered clouds,12.5,102.5,สวนหนิง-อัศ
427,Omboue,GA,77.83,light rain,-1.5746,9.2618,Hotel Olako
430,Cockburn Town,TC,79.7,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
445,Save,BJ,76.08,overcast clouds,8.0425,2.486,Le Cercle du Rail
447,Bundaberg,AU,75.49,light rain,-24.85,152.35,Takalvan Motel
450,Dzaoudzi,YT,80.49,broken clouds,-12.7887,45.2699,Le Rocher
451,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
455,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
460,Majene,ID,84.61,light rain,-3.5403,118.9707,Kost Putri RABBANI
461,Pemangkat,ID,85.12,few clouds,1.1667,108.9667,Ramah Kost KITA
464,Alamos,MX,85.06,clear sky,27.0167,-108.9333,Luz del Sol
465,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
470,Kudahuvadhoo,MV,84.27,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
471,Wanxian,CN,76.24,light rain,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
473,Regeneracao,BR,75.76,overcast clouds,-6.2378,-42.6883,Hotel KANAYRA
475,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
482,Puerto Escondido,MX,82.9,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
484,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
489,Praxedis Guerrero,MX,87.26,clear sky,31.3667,-106.0167,Congregación placitas de Otero
490,Parakan,ID,84.54,scattered clouds,-6.4191,106.0081,Mejlis taklim Al-ikhlas
492,Buala,SB,83.5,light rain,-8.145,159.5921,Maringe Lagoon Lodge
495,Thai Nguyen,VN,80.38,overcast clouds,21.5928,105.8442,East Asia Hotel 2
496,Katherine,AU,88.12,broken clouds,-14.4667,132.2667,Pine Tree Motel
502,Samarai,PG,85.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
504,Honiara,SB,85.69,heavy intensity rain,-9.4333,159.95,Heritage Park Hotel
511,Tautira,PF,81.16,broken clouds,-17.7333,-149.15,Pension Oaoa
514,La Primavera,CO,77.76,light rain,5.4906,-70.4092,La Riviera Hotel Colonial
516,Bhadrachalam,IN,85.01,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
517,Dingle,PH,87.42,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
518,Itoman,JP,81.37,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
522,Esna,EG,77.9,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
532,Mattru,SL,77.14,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
536,Wichita Falls,US,84.42,clear sky,33.9137,-98.4934,Quality Inn & Suites Wichita Falls I-44
537,Palu,ID,83.1,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
538,Kutum,SD,76.69,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
552,Kloulklubed,PW,79.47,moderate rain,7.0419,134.2556,Storyboard Beach Resort
553,Soyo,AO,77.13,overcast clouds,-6.1349,12.3689,Hotel Mpampa
564,Bajil,YE,85.41,clear sky,15.0584,43.2851,فندق حضرموت
567,Arlit,NE,83.84,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
568,Mecca,SA,84.4,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
573,Qui Nhon,VN,84.61,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
579,Phan Thiet,VN,87.48,broken clouds,10.9333,108.1,Hotel Saigon-PT
583,Contamana,PE,77.29,clear sky,-7.3333,-75.0167,Shiringal Touristic Park
585,Cabo San Lucas,MX,86.31,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
586,Port Loko,SL,78.24,overcast clouds,8.7667,-12.7833,MJ Motel
589,Buraydah,SA,77.05,clear sky,26.326,43.975,Mövenpick Qassim
592,Palasa,IN,82.96,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
593,Kimbe,PG,86.31,light rain,-5.5502,150.1429,Kimbe Bay Hotel
594,Iracoubo,GF,77.11,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
596,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
599,Valdez,EC,78.35,overcast clouds,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
601,Trincomalee,LK,82.99,overcast clouds,8.5711,81.2335,Welcombe Hotel
604,Sorong,ID,82.65,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
