City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_Description
69,Tabas,IR,33.5959,56.9244,73.62,17,0,6.91,clear sky
70,Bluff,NZ,-46.6,168.3333,57.79,71,56,14.16,broken clouds
71,Banff,CA,51.1762,-115.5698,45.63,60,100,4.61,overcast clouds
72,Ribeira Grande,PT,38.5167,-28.7,60.31,81,100,21.0,overcast clouds
73,East London,ZA,-33.0153,27.9116,68.04,50,45,19.24,scattered clouds
74,Souillac,MU,-20.5167,57.5167,71.98,94,20,4.61,few clouds
75,Truth Or Consequences,US,33.1284,-107.2528,76.44,11,1,12.35,clear sky
76,Beringovskiy,RU,63.05,179.3167,37.38,93,100,8.63,overcast clouds
77,Klaksvik,FO,62.2266,-6.589,45.52,86,6,5.88,clear sky
78,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,97,8.05,overcast clouds
79,Bethel,US,41.3712,-73.414,56.55,37,2,8.05,clear sky
80,Hilo,US,19.7297,-155.09,81.28,90,98,5.99,overcast clouds
81,Lompoc,US,34.6391,-120.4579,59.14,58,0,27.63,clear sky
82,Isangel,VU,-19.55,169.2667,84.31,58,40,6.91,scattered clouds
83,Geraldton,AU,-28.7667,114.6,68.41,77,100,5.75,overcast clouds
84,Governador Valadares,BR,-18.8511,-41.9494,67.55,69,66,1.34,broken clouds
85,Umm Lajj,SA,25.0213,37.2685,80.28,43,83,10.54,broken clouds
86,Homer,US,59.6425,-151.5483,50.81,30,0,21.0,clear sky
87,Fallon,US,39.4735,-118.7774,49.87,25,75,4.61,broken clouds
88,Vao,NC,-22.6667,167.4833,73.44,65,21,20.22,few clouds
89,Victoria,HK,22.2855,114.1577,78.94,96,100,8.99,moderate rain
90,Aklavik,CA,68.2191,-135.0107,32.05,79,100,13.47,overcast clouds
91,Coahuayana,MX,18.7333,-103.6833,75.06,83,75,2.48,broken clouds
92,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,70.07,73,97,3.58,overcast clouds
93,Barra Do Garcas,BR,-15.89,-52.2567,73.6,53,87,2.77,overcast clouds
94,Faanui,PF,-16.4833,-151.75,82.67,74,11,17.07,light rain
95,Barra Da Estiva,BR,-13.6261,-41.3269,61.03,85,19,1.97,few clouds
96,Tucupita,VE,9.0622,-62.051,73.04,84,2,3.6,clear sky
97,Kodiak,US,57.79,-152.4072,43.95,50,0,20.54,clear sky
98,Port Elizabeth,ZA,-33.918,25.5701,64.31,80,0,20.71,clear sky
99,Kavieng,PG,-2.5744,150.7967,85.08,68,100,14.45,overcast clouds
100,Lidkoping,SE,58.5052,13.1577,48.22,90,30,14.97,scattered clouds
101,Kamsack,CA,51.5667,-101.9009,42.13,85,100,10.42,overcast clouds
102,Khatanga,RU,71.9667,102.5,22.03,87,11,12.93,few clouds
103,Mnogovershinnyy,RU,53.9353,139.9242,52.36,72,57,2.17,broken clouds
